Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type,folio,The data file you were trying to download is temporarily unavailable. Please try downloading again.
DKS,240.05,2025/01/31,16:00 EST,-9.98999,250.04,249.685,238.64,1117195.0,,,,,,,,,watchList0,
OI,11.94,2025/01/31,16:00 EST,0.0599995,11.77,12.205,11.79,1758460.0,,,,,,,,,watchList0,
WORK,,,,,,,,,,,,,,,,,watchList0,
JEF,76.89,2025/01/31,16:00 EST,-0.25,77.49,77.83,76.21,1194596.0,,,,,,,,,watchList0,
OAKMX,159.92,2025/01/31,20:01 EST,-1.2,,,,,,,,,,,,,watchList0,
IUSG,143.0,2025/01/31,16:00 EST,-0.7899933,144.63,145.5,142.81,504836.0,,,,,,,,,watchList0,
LEVI,19.03,2025/01/31,16:00 EST,0.18,18.72,19.67,18.6919,5038169.0,,,,,,,,,watchList0,
SFET,,,,,,,,,,,,,,,,,watchList0,
AM,16.04,2025/01/31,16:00 EST,-0.209999,16.21,16.325,15.97,5204293.0,,,,,,,,,watchList0,
APHA,,,,,,,,,,,,,,,,,watchList0,
TKC,7.39,2025/01/31,16:00 EST,0.0,7.42,7.51,7.37,237584.0,,,,,,,,,watchList0,
SNH,,,,,,,,,,,,,,,,,watchList0,
PHK,4.94,2025/01/31,16:00 EST,0.0100002,4.95,4.9546,4.92,854463.0,,,,,,,,,watchList0,
VZ,39.39,2025/01/31,16:00 EST,-0.0800018,39.57,39.935,39.285,20421941.0,,,,,,,,,watchList0,
JPM,267.3,2025/01/31,16:00 EST,-0.930023,269.23,270.82,267.0,5282793.0,,,,,,,,,watchList0,
SMTA,,,,,,,,,,,,,,,,,watchList0,
YRD,5.68,2025/01/31,16:00 EST,-0.16,5.84,5.85,5.65,70755.0,,,,,,,,,watchList0,
HX,,,,,,,,,,,,,,,,,watchList0,
SOXL,27.02,2025/01/31,16:00 EST,-0.129999,27.63,29.25,26.7,101748238.0,,,,,,,,,watchList0,
BA,176.52,2025/01/31,16:00 EST,-3.00999,180.51,181.78,175.74,5436204.0,,,,,,,,,watchList0,
RMNI,2.88,2025/01/31,16:00 EST,-0.03999996,2.89,2.92,2.823,284573.0,,,,,,,,,watchList0,
DOCU,96.73,2025/01/31,16:00 EST,0.8800049,96.92,98.5999,96.055,2805406.0,,,,,,,,,watchList0,
TXN,184.61,2025/01/31,16:00 EST,0.69999695,183.78,189.03,183.08,6333861.0,,,,,,,,,watchList0,
FIVG,42.32,2024/07/23,16:00 EDT,-0.10300064,42.26,42.26,41.77,30311.0,,,,,,,,,watchList0,
NAV,,,,,,,,,,,,,,,,,watchList0,
EPRT,32.1,2025/01/31,16:00 EST,-0.100002,32.05,32.29,31.59,1027032.0,,,,,,,,,watchList0,
